,_id,Age,Sex,Race,Year,Arrest1,Neighborhood
544,19150,17,F,B,2018,Marijuana Possession,Perry North
733,17932,17,M,O,2018,Marijuana Possession,Perry North
795,5322,15,M,B,2017,Marijuana Possession,Perry North
964,12995,15,M,W,2017,Marijuana Possession,Perry North
1011,18240,16,M,B,2018,Marijuana Possession,Perry North
1063,11210,19,M,W,2017,Marijuana Possession,Perry North
1203,18496,17,M,B,2018,Marijuana Possession,Perry North
1218,20850,15,M,B,2018,Marijuana Possession,Perry North
868,9323,16,F,B,2017,Public Drunkenness,Perry North
302,16485,23,M,B,2018,Marijuana Possession,Perry North
311,18632,20,F,B,2018,Criminal Conspiracy,Perry South
317,18633,23,M,B,2018,Criminal Conspiracy,Perry South
448,11685,45,M,B,2017,Criminal Conspiracy,Perry South
568,4137,28,M,B,2016,Criminal Conspiracy,Perry South
572,4138,30,M,B,2016,Criminal Conspiracy,Perry South
631,19367,34,M,B,2018,Criminal Conspiracy,Perry South
744,4690,21,M,B,2017,Criminal Conspiracy,Perry South
1066,20185,26,M,B,2018,Criminal Conspiracy,Perry South
1133,18634,21,M,B,2018,Criminal Conspiracy,Perry South
220,2596,11,M,B,2016,Criminal Mischief,Perry South
1190,8624,23,M,B,2017,Criminal Mischief,Perry South
1242,14624,34,F,B,2017,Criminal Mischief,Perry South
456,11067,31,M,B,2017,Marijuana Possession,Perry South
532,19701,21,M,B,2018,Marijuana Possession,Perry South
579,19238,14,F,B,2018,Marijuana Possession,Perry South
391,2790,37,M,B,2016,Criminal Conspiracy,Point Breeze
697,11850,24,F,W,2017,Criminal Mischief,Point Breeze
844,13247,23,M,W,2017,Criminal Mischief,Point Breeze
985,3527,50,M,B,2016,Public Drunkenness,Point Breeze
1049,18315,33,M,B,2018,Public Drunkenness,Point Breeze
1111,5319,50,M,B,2017,Public Drunkenness,Point Breeze
882,4682,NA,M,B,2016,Criminal Conspiracy,Point Breeze North
903,4752,NA,M,B,2016,Criminal Conspiracy,Point Breeze North
1259,21155,27,F,B,2018,Criminal Mischief,Point Breeze North
709,19566,38,M,W,2018,Criminal Mischief,Polish Hill
436,19231,14,M,B,2018,Criminal Mischief,Regent Square
133,16779,45,F,B,2018,Criminal Conspiracy,Shadyside
134,2381,17,F,B,2016,Criminal Conspiracy,Shadyside
137,2380,26,F,B,2016,Criminal Conspiracy,Shadyside
523,9932,50,F,B,2017,Criminal Conspiracy,Shadyside
574,17590,28,M,W,2018,Criminal Conspiracy,Shadyside
58,2086,17,F,B,2016,Criminal Conspiracy,Shadyside
1127,20342,22,M,B,2018,Criminal Conspiracy,Shadyside
1116,18591,43,F,W,2018,Forgery,Shadyside
1329,18910,20,M,W,2018,Marijuana Possession,Shadyside
385,11010,46,M,B,2017,Public Drunkenness,Shadyside
176,22527,27,M,W,2018,Public Drunkenness,Shadyside
966,11932,22,F,W,2017,Public Drunkenness,Shadyside
982,4200,25,F,B,2017,Public Drunkenness,Shadyside
1284,1805,26,M,W,2016,Public Drunkenness,Shadyside
1300,6078,30,M,U,2017,Public Drunkenness,Shadyside
348,16527,34,M,W,2018,Public Drunkenness,Shadyside
281,2894,42,F,B,2016,Criminal Conspiracy,Sheraden
282,2895,26,F,B,2016,Criminal Conspiracy,Sheraden
326,19326,15,M,B,2018,Criminal Conspiracy,Sheraden
629,17128,14,M,B,2018,Criminal Conspiracy,Sheraden
658,4411,13,M,B,2017,Criminal Conspiracy,Sheraden
679,10247,36,M,B,2017,Criminal Conspiracy,Sheraden
781,17715,26,M,B,2018,Criminal Conspiracy,Sheraden
1140,20397,41,M,W,2018,Criminal Conspiracy,Sheraden
67,16212,28,M,B,2017,Criminal Conspiracy,Sheraden
935,13545,24,M,B,2017,Criminal Conspiracy,Sheraden
1039,5155,24,F,B,2017,Criminal Conspiracy,Sheraden
1115,5154,26,M,B,2017,Criminal Conspiracy,Sheraden
150,7818,20,M,B,2017,Criminal Mischief,Sheraden
1119,6222,35,F,W,2017,Criminal Mischief,Sheraden
1142,18694,16,M,B,2018,Forgery,Sheraden
5,18712,20,M,B,2018,Marijuana Possession,Sheraden
205,3580,20,F,B,2016,Marijuana Possession,Sheraden
238,11239,12,M,B,2017,Marijuana Possession,Sheraden
608,11237,14,M,B,2017,Marijuana Possession,Sheraden
678,19498,25,F,B,2018,Marijuana Possession,Sheraden
735,4412,14,M,B,2017,Marijuana Possession,Sheraden
881,9359,26,M,B,2017,Marijuana Possession,Sheraden
1295,18255,26,M,B,2018,Marijuana Possession,Sheraden
255,2772,23,F,B,2016,Marijuana Possession,Sheraden
303,16390,17,M,B,2017,Criminal Conspiracy,South Oakland
990,4062,15,M,B,2017,Criminal Conspiracy,South Oakland
1031,5144,19,M,B,2017,Criminal Conspiracy,South Oakland
243,7215,57,M,B,2017,Criminal Mischief,South Oakland
789,10106,18,M,B,2017,Criminal Mischief,South Oakland
817,9255,22,M,W,2017,Criminal Mischief,South Oakland
865,19258,19,M,W,2018,Marijuana Possession,South Oakland
711,3618,35,F,O,2016,Public Drunkenness,South Oakland
917,17905,22,M,B,2018,Public Drunkenness,South Oakland
62,10748,24,F,B,2017,Criminal Conspiracy,South Shore
64,10749,36,M,B,2017,Criminal Conspiracy,South Shore
913,13386,22,F,B,2017,Marijuana Possession,South Shore
308,17076,37,M,W,2018,Public Drunkenness,South Shore
859,4611,24,M,W,2017,Public Drunkenness,South Shore
109,18059,24,M,B,2018,Criminal Conspiracy,South Side Flats
158,16851,26,M,B,2018,Criminal Conspiracy,South Side Flats
285,18514,26,M,W,2018,Criminal Conspiracy,South Side Flats
288,18515,31,M,B,2018,Criminal Conspiracy,South Side Flats
363,7745,42,M,W,2017,Criminal Conspiracy,South Side Flats
418,10808,NA,M,W,2017,Criminal Conspiracy,South Side Flats
430,16844,36,F,W,2018,Criminal Conspiracy,South Side Flats
502,16923,22,F,B,2018,Criminal Conspiracy,South Side Flats
38,15956,28,F,B,2017,Criminal Conspiracy,South Side Flats
53,17874,19,M,W,2018,Criminal Conspiracy,South Side Flats
75,7742,46,M,W,2017,Criminal Conspiracy,South Side Flats
81,10807,NA,M,W,2017,Criminal Conspiracy,South Side Flats
86,16057,23,M,B,2017,Criminal Conspiracy,South Side Flats
856,19919,26,F,B,2018,Criminal Conspiracy,South Side Flats
860,19920,33,F,B,2018,Criminal Conspiracy,South Side Flats
875,13295,26,M,B,2017,Criminal Conspiracy,South Side Flats
883,18197,31,F,W,2018,Criminal Conspiracy,South Side Flats
944,6588,22,M,B,2017,Criminal Conspiracy,South Side Flats
1005,5062,25,M,W,2017,Criminal Conspiracy,South Side Flats
1071,5240,23,M,W,2017,Criminal Conspiracy,South Side Flats
1123,20324,26,F,B,2018,Criminal Conspiracy,South Side Flats
1245,14635,25,M,B,2017,Criminal Conspiracy,South Side Flats
1303,5061,25,M,W,2017,Criminal Conspiracy,South Side Flats
1314,21338,36,M,B,2018,Criminal Conspiracy,South Side Flats
125,3595,54,M,B,2016,Criminal Mischief,South Side Flats
412,19174,52,M,B,2018,Criminal Mischief,South Side Flats
504,3897,22,M,B,2017,Criminal Mischief,South Side Flats
518,3944,30,M,B,2016,Criminal Mischief,South Side Flats
558,19194,35,M,W,2018,Criminal Mischief,South Side Flats
636,22922,51,M,B,2018,Criminal Mischief,South Side Flats
809,16474,25,M,B,2018,Criminal Mischief,South Side Flats
23,10711,35,F,W,2017,Criminal Mischief,South Side Flats
39,17851,28,M,B,2018,Criminal Mischief,South Side Flats
954,10597,24,M,B,2017,Criminal Mischief,South Side Flats
965,11927,21,M,W,2017,Criminal Mischief,South Side Flats
998,1226,20,F,B,2016,Criminal Mischief,South Side Flats
1021,4388,21,M,W,2017,Criminal Mischief,South Side Flats
352,3829,29,F,W,2016,Public Drunkenness,South Side Flats
751,8899,43,F,W,2017,Forgery,South Side Flats
725,169,33,M,W,2016,Public Drunkenness,South Side Flats
907,17868,33,F,B,2018,Marijuana Possession,South Side Flats
24,18738,19,F,W,2018,Marijuana Possession,South Side Flats
49,5636,20,M,W,2017,Marijuana Possession,South Side Flats
68,17902,27,M,B,2018,Marijuana Possession,South Side Flats
112,5539,26,F,W,2017,Marijuana Possession,South Side Flats
218,2227,24,M,W,2016,Marijuana Possession,South Side Flats
294,18551,24,M,B,2018,Marijuana Possession,South Side Flats
319,3214,35,M,W,2016,Marijuana Possession,South Side Flats
481,11108,18,M,B,2017,Marijuana Possession,South Side Flats
552,9105,24,M,W,2017,Marijuana Possession,South Side Flats
685,12561,21,M,B,2017,Marijuana Possession,South Side Flats
696,11081,24,M,B,2017,Marijuana Possession,South Side Flats
796,8439,22,M,B,2017,Marijuana Possession,South Side Flats
1072,12562,22,M,B,2017,Marijuana Possession,South Side Flats
1081,9676,24,M,B,2017,Marijuana Possession,South Side Flats
1099,12061,25,M,B,2017,Marijuana Possession,South Side Flats
1124,14210,63,M,B,2017,Marijuana Possession,South Side Flats
1165,13350,18,M,B,2017,Marijuana Possession,South Side Flats
1285,9449,23,M,B,2017,Marijuana Possession,South Side Flats
1292,21267,31,M,B,2018,Marijuana Possession,South Side Flats
1336,18929,29,M,B,2018,Marijuana Possession,South Side Flats
178,2116,56,M,B,2016,Public Drunkenness,South Side Flats
477,1219,24,M,O,2016,Public Drunkenness,South Side Flats
782,19742,21,F,B,2018,Public Drunkenness,South Side Flats
111,12199,42,M,W,2017,Public Drunkenness,South Side Flats
157,18162,37,F,W,2018,Public Drunkenness,South Side Flats
181,10880,21,M,W,2017,Public Drunkenness,South Side Flats
249,2356,21,M,B,2016,Public Drunkenness,South Side Flats
257,10941,23,M,B,2017,Public Drunkenness,South Side Flats
329,2638,24,M,B,2016,Public Drunkenness,South Side Flats
338,9427,22,M,B,2017,Public Drunkenness,South Side Flats
347,11195,24,F,O,2017,Public Drunkenness,South Side Flats
361,6673,38,M,B,2017,Public Drunkenness,South Side Flats
419,3552,57,M,W,2016,Public Drunkenness,South Side Flats
435,3606,22,M,B,2016,Public Drunkenness,South Side Flats
446,16709,27,M,W,2018,Public Drunkenness,South Side Flats
480,3786,33,M,B,2016,Public Drunkenness,South Side Flats
553,3784,27,F,W,2016,Public Drunkenness,South Side Flats
599,19285,35,M,W,2018,Public Drunkenness,South Side Flats
611,12470,51,M,W,2017,Public Drunkenness,South Side Flats
623,9428,22,F,W,2017,Public Drunkenness,South Side Flats
653,4201,24,M,W,2017,Public Drunkenness,South Side Flats
699,5542,69,M,W,2017,Public Drunkenness,South Side Flats
740,8871,35,M,W,2017,Public Drunkenness,South Side Flats
819,11629,22,M,W,2017,Public Drunkenness,South Side Flats
885,5255,36,M,W,2017,Public Drunkenness,South Side Flats
936,17945,21,M,W,2018,Public Drunkenness,South Side Flats
948,4855,21,F,W,2017,Public Drunkenness,South Side Flats
950,4863,22,M,W,2017,Public Drunkenness,South Side Flats
953,6081,21,M,W,2017,Public Drunkenness,South Side Flats
958,8086,31,M,W,2017,Public Drunkenness,South Side Flats
1009,18774,26,M,B,2018,Public Drunkenness,South Side Flats
1050,4901,70,M,W,2017,Public Drunkenness,South Side Flats
1079,1220,27,M,W,2016,Public Drunkenness,South Side Flats
1093,20258,21,M,W,2018,Public Drunkenness,South Side Flats
1100,12082,26,M,B,2017,Public Drunkenness,South Side Flats
1136,5375,42,M,U,2017,Public Drunkenness,South Side Flats
1162,5419,26,M,W,2017,Public Drunkenness,South Side Flats
1164,5426,69,M,W,2017,Public Drunkenness,South Side Flats
1334,21423,25,M,B,2018,Public Drunkenness,South Side Flats
6,1893,37,M,B,2016,Public Drunkenness,South Side Flats
369,4577,69,M,W,2017,Public Drunkenness,South Side Flats
1184,9607,38,M,W,2017,Public Drunkenness,South Side Flats
1222,5643,25,F,W,2017,Public Drunkenness,South Side Flats
1232,5692,30,M,W,2017,Public Drunkenness,South Side Flats
1236,6131,33,M,W,2017,Public Drunkenness,South Side Flats
1239,3367,22,M,O,2016,Public Drunkenness,South Side Flats
1263,18845,23,M,W,2018,Public Drunkenness,South Side Flats
1280,5888,24,M,W,2017,Public Drunkenness,South Side Flats
1304,1449,45,M,W,2016,Public Drunkenness,South Side Flats
265,18465,52,M,B,2018,Forgery,South Side Flats
491,19061,26,M,B,2018,Criminal Mischief,South Side Flats
506,16984,19,F,B,2018,Criminal Mischief,South Side Flats
606,17125,35,M,W,2018,Criminal Mischief,South Side Flats
687,9677,28,M,B,2017,Criminal Conspiracy,South Side Flats
327,16452,40,F,W,2018,Criminal Conspiracy,South Side Slopes
466,14910,52,M,B,2017,Criminal Conspiracy,South Side Slopes
479,19043,21,M,B,2018,Criminal Conspiracy,South Side Slopes
594,4131,40,M,O,2017,Criminal Conspiracy,South Side Slopes
805,19803,53,M,B,2018,Criminal Conspiracy,South Side Slopes
823,19865,31,M,B,2018,Criminal Conspiracy,South Side Slopes
963,11916,24,M,B,2017,Criminal Conspiracy,South Side Slopes
1012,5087,19,M,W,2017,Criminal Conspiracy,South Side Slopes
1318,19017,20,M,B,2018,Criminal Conspiracy,South Side Slopes
1319,5088,19,F,W,2017,Criminal Conspiracy,South Side Slopes
649,19398,21,M,B,2018,Criminal Mischief,South Side Slopes
36,1987,27,M,B,2016,Criminal Mischief,South Side Slopes
374,16572,53,M,B,2018,Criminal Mischief,South Side Slopes
951,18735,28,F,W,2018,Criminal Mischief,South Side Slopes
548,9999,28,M,W,2017,Marijuana Possession,South Side Slopes
986,18678,19,F,W,2018,Marijuana Possession,South Side Slopes
1233,18210,21,M,B,2018,Marijuana Possession,South Side Slopes
1286,18819,53,M,B,2018,Marijuana Possession,South Side Slopes
414,18882,43,M,W,2018,Forgery,South Side Slopes
139,2384,47,M,W,2016,Marijuana Possession,South Side Slopes
201,22611,30,F,W,2018,Criminal Conspiracy,Spring Garden
642,4376,22,F,W,2017,Criminal Conspiracy,Spring Garden
981,4920,39,M,W,2017,Criminal Mischief,Spring Garden
199,2546,17,M,B,2016,Criminal Conspiracy,Spring Hill-City View
202,2547,17,M,B,2016,Criminal Conspiracy,Spring Hill-City View
256,8111,18,M,O,2017,Criminal Conspiracy,Spring Hill-City View
300,8165,18,M,O,2017,Criminal Conspiracy,Spring Hill-City View
382,3425,16,M,B,2016,Criminal Conspiracy,Spring Hill-City View
415,3532,16,M,B,2016,Criminal Conspiracy,Spring Hill-City View
743,8028,15,M,B,2017,Criminal Conspiracy,Spring Hill-City View
21,8164,18,M,W,2017,Criminal Conspiracy,Spring Hill-City View
1191,20650,14,M,B,2018,Criminal Conspiracy,Spring Hill-City View
1315,9800,23,F,W,2017,Criminal Conspiracy,Spring Hill-City View
155,18141,24,F,B,2018,Criminal Mischief,Spring Hill-City View
857,5090,55,F,W,2017,Criminal Mischief,Spring Hill-City View
1278,11339,26,M,B,2017,Criminal Mischief,Spring Hill-City View
1043,11157,18,M,B,2017,Forgery,Spring Hill-City View
828,11640,32,M,B,2017,Public Drunkenness,Spring Hill-City View
573,17485,21,M,B,2018,Marijuana Possession,Spring Hill-City View
1025,1163,29,F,B,2016,Marijuana Possession,Spring Hill-City View
1321,17484,22,M,B,2018,Marijuana Possession,Spring Hill-City View
976,4185,22,M,W,2017,Public Drunkenness,Spring Hill-City View
299,3074,21,M,B,2016,Marijuana Possession,Spring Hill-City View
1104,22908,28,M,B,2018,Criminal Mischief,Spring Hill-City View
628,17173,34,F,W,2018,Criminal Conspiracy,Squirrel Hill North
78,2157,55,M,W,2016,Criminal Mischief,Squirrel Hill North
393,16617,14,M,B,2018,Criminal Conspiracy,Squirrel Hill South
398,16618,14,M,B,2018,Criminal Conspiracy,Squirrel Hill South
455,18979,16,M,B,2018,Criminal Conspiracy,Squirrel Hill South
826,19875,17,M,B,2018,Criminal Conspiracy,Squirrel Hill South
1082,18980,15,M,B,2018,Criminal Conspiracy,Squirrel Hill South
406,3506,25,M,B,2016,Forgery,Squirrel Hill South
57,16651,41,F,W,2018,Forgery,Squirrel Hill South
612,17141,29,F,B,2018,Forgery,Squirrel Hill South
1088,14072,51,M,B,2017,Forgery,Squirrel Hill South
188,7098,17,M,B,2017,Marijuana Possession,Squirrel Hill South
278,19236,17,M,B,2018,Marijuana Possession,Squirrel Hill South
336,17138,17,F,W,2018,Marijuana Possession,Squirrel Hill South
513,19908,14,F,B,2018,Marijuana Possession,Squirrel Hill South
580,17072,20,F,W,2018,Marijuana Possession,Squirrel Hill South
602,17109,17,M,B,2018,Marijuana Possession,Squirrel Hill South
702,4366,15,M,B,2017,Marijuana Possession,Squirrel Hill South
808,17563,15,M,H,2018,Marijuana Possession,Squirrel Hill South
888,19995,15,M,H,2018,Marijuana Possession,Squirrel Hill South
932,17929,16,M,B,2018,Marijuana Possession,Squirrel Hill South
938,14122,15,M,B,2017,Marijuana Possession,Squirrel Hill South
1294,5955,14,F,W,2017,Marijuana Possession,Squirrel Hill South
309,18619,23,M,B,2018,Public Drunkenness,Squirrel Hill South
74,16702,23,M,B,2018,Public Drunkenness,Squirrel Hill South
1226,5667,24,M,W,2017,Public Drunkenness,Squirrel Hill South
634,11280,65,M,B,2017,Criminal Mischief,Squirrel Hill South
247,2743,23,M,B,2016,Criminal Conspiracy,Stanton Heights
915,9419,22,M,B,2017,Criminal Conspiracy,Stanton Heights
930,17922,15,M,O,2018,Criminal Conspiracy,Stanton Heights
1007,5073,22,M,B,2017,Criminal Conspiracy,Stanton Heights
203,18280,18,M,W,2018,Marijuana Possession,Stanton Heights
315,12261,18,M,B,2017,Marijuana Possession,Stanton Heights
1068,11226,24,F,B,2017,Criminal Mischief,Strip District
1023,20135,24,M,B,2018,Marijuana Possession,Strip District
1076,14043,45,M,H,2017,Public Drunkenness,Strip District
673,19459,25,F,B,2018,Criminal Mischief,Strip District
674,19461,25,F,B,2018,Criminal Mischief,Strip District
1244,14896,21,M,B,2017,Marijuana Possession,Swisshelm Park
1089,5286,18,M,B,2017,Criminal Conspiracy,Terrace Village
30,1984,18,M,B,2016,Marijuana Possession,Terrace Village
1146,5383,25,M,B,2017,Marijuana Possession,Terrace Village
1264,4092,51,M,B,2016,Public Drunkenness,Terrace Village
91,1777,30,M,B,2016,Criminal Conspiracy,Troy Hill
690,7771,31,M,W,2017,Criminal Conspiracy,Troy Hill
853,17668,28,M,W,2018,Criminal Conspiracy,Troy Hill
3,1880,27,M,W,2016,Criminal Mischief,Troy Hill
1282,1435,43,F,W,2016,Forgery,Troy Hill
295,2494,27,M,W,2016,Public Drunkenness,Troy Hill
280,2885,29,M,B,2016,Criminal Conspiracy,Upper Hill
507,19119,20,M,B,2018,Criminal Conspiracy,Upper Hill
471,3754,23,M,B,2016,Criminal Mischief,Upper Hill
27,11318,50,M,B,2017,Forgery,Upper Hill
910,19532,33,F,B,2018,Marijuana Possession,Upper Hill
365,8374,17,M,O,2017,Marijuana Possession,Upper Hill
422,17045,17,M,B,2018,Marijuana Possession,Upper Hill
831,15568,15,M,B,2017,Marijuana Possession,Upper Hill
894,21503,16,M,W,2018,Marijuana Possession,Upper Hill
1166,14403,14,M,B,2017,Marijuana Possession,Upper Hill
283,9215,38,M,B,2017,Marijuana Possession,Upper Hill
487,19678,34,U,B,2018,Criminal Conspiracy,Upper Lawrenceville
758,19679,29,M,B,2018,Criminal Conspiracy,Upper Lawrenceville
179,8974,31,M,B,2017,Marijuana Possession,Upper Lawrenceville
171,16866,59,M,W,2018,Public Drunkenness,Upper Lawrenceville
122,2336,28,M,B,2016,Criminal Conspiracy,West End
159,2401,28,M,B,2016,Criminal Conspiracy,West End
160,2402,32,F,B,2016,Criminal Conspiracy,West End
274,2403,16,M,B,2016,Criminal Conspiracy,West End
1243,21061,42,M,B,2018,Criminal Conspiracy,West End
980,18625,27,M,B,2018,Marijuana Possession,West End
384,16599,21,M,B,2018,Criminal Conspiracy,West Oakland
676,11379,23,M,B,2017,Marijuana Possession,West Oakland
575,4152,37,M,B,2016,Criminal Conspiracy,Windgap
603,4153,36,M,B,2016,Criminal Conspiracy,Windgap
718,4619,27,F,B,2014,Criminal Conspiracy,Windgap
1137,4621,30,M,B,2014,Criminal Conspiracy,Windgap
77,11389,16,M,B,2017,Criminal Conspiracy,Windgap
1235,20989,29,M,B,2018,Criminal Conspiracy,Windgap
1297,11388,16,M,B,2017,Criminal Conspiracy,Windgap
